sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
4449,4.0439453125,350,1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
4463,4.0576171875,351,1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
5006,4.587890625,350,1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
5021,4.6025390625,351,1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
8501,8.0009765625,112,-1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
9131,8.6162109375,350,0,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
9147,8.6318359375,351,0,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
9178,8.662109375,350,0,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
9481,8.9580078125,101,-1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
9519,8.9951171875,351,0,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
308,0.0,12,-1,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
1331,0.9990234375,1,-1,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8052,7.5625,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8084,7.59375,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8192,7.69921875,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8225,7.7314453125,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8501,8.0009765625,112,-1,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8693,8.1884765625,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8725,8.2197265625,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8773,8.2666015625,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8789,8.2822265625,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8822,8.314453125,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
