sample,time,code,chan,trialIdx
874566,854.068359375,350,0,46
874794,854.291015625,351,0,46
874889,854.3837890625,350,0,46
874999,854.4912109375,101,-1,46
875028,854.51953125,351,0,46
887446,866.646484375,13,-1,47
887694,866.888671875,350,0,47
887735,866.9287109375,351,0,47
887773,866.9658203125,350,0,47
887821,867.0126953125,351,0,47
887892,867.08203125,350,0,47
887951,867.1396484375,351,0,47
888103,867.2880859375,350,0,47
888171,867.3544921875,351,0,47
888251,867.4326171875,350,0,47
888352,867.53125,351,0,47
888372,867.55078125,350,0,47
888415,867.5927734375,351,0,47
888438,867.615234375,350,0,47
888468,867.64453125,1,-1,47
888481,867.6572265625,351,0,47
888553,867.7275390625,350,0,47
888628,867.80078125,351,0,47
888688,867.859375,350,0,47
888761,867.9306640625,351,0,47
888837,868.0048828125,350,0,47
888853,868.0205078125,351,0,47
892661,871.7392578125,350,0,47
892682,871.759765625,351,0,47
892819,871.8935546875,350,0,47
892835,871.9091796875,351,0,47
892908,871.98046875,350,0,47
892961,872.0322265625,351,0,47
893035,872.1044921875,350,0,47
893085,872.1533203125,351,0,47
893183,872.2490234375,350,0,47
893214,872.279296875,351,0,47
893294,872.357421875,350,0,47
893311,872.3740234375,351,0,47
893406,872.466796875,350,0,47
893423,872.4833984375,351,0,47
893488,872.546875,350,0,47
893504,872.5625,351,0,47
893552,872.609375,350,0,47
893600,872.65625,351,0,47
893675,872.7294921875,350,0,47
893692,872.74609375,351,0,47
893745,872.7978515625,350,0,47
893770,872.822265625,351,0,47
893841,872.8916015625,350,0,47
893867,872.9169921875,351,0,47
893936,872.984375,350,0,47
893952,873,351,0,47
893997,873.0439453125,350,0,47
894052,873.09765625,351,0,47
894132,873.17578125,350,0,47
894148,873.19140625,351,0,47
894209,873.2509765625,350,0,47
894244,873.28515625,351,0,47
894300,873.33984375,350,0,47
894355,873.3935546875,351,0,47
894452,873.48828125,350,0,47
894474,873.509765625,351,0,47
894522,873.556640625,350,0,47
894579,873.6123046875,351,0,47
894673,873.7041015625,350,0,47
894689,873.7197265625,351,0,47
894735,873.7646484375,350,0,47
894790,873.818359375,351,0,47
894853,873.8798828125,350,0,47
894893,873.9189453125,351,0,47
894953,873.9775390625,350,0,47
894983,874.0068359375,351,0,47
895049,874.0712890625,350,0,47
895065,874.0869140625,351,0,47
895106,874.126953125,350,0,47
895156,874.17578125,351,0,47
895192,874.2109375,350,0,47
895232,874.25,351,0,47
895291,874.3076171875,350,0,47
895323,874.3388671875,351,0,47
895392,874.40625,350,0,47
895423,874.4365234375,351,0,47
895451,874.4638671875,350,0,47
895488,874.5,351,0,47
895549,874.5595703125,350,0,47
895581,874.5908203125,351,0,47
895635,874.6435546875,350,0,47
895638,874.646484375,113,-1,47
895665,874.6728515625,351,0,47
895743,874.7490234375,350,0,47
895759,874.7646484375,351,0,47
895846,874.849609375,350,0,47
895862,874.865234375,351,0,47
895962,874.962890625,350,0,47
895978,874.978515625,351,0,47
896097,875.0947265625,350,0,47
896134,875.130859375,351,0,47
896272,875.265625,350,0,47
896288,875.28125,351,0,47
896368,875.359375,350,0,47
896424,875.4140625,351,0,47
896480,875.46875,350,0,47
896517,875.5048828125,351,0,47
896557,875.5439453125,350,0,47
896853,875.8330078125,101,-1,47
896886,875.865234375,351,0,47
909290,887.978515625,16,-1,48
909631,888.3115234375,350,1,48
909692,888.37109375,351,1,48
909822,888.498046875,350,1,48
909896,888.5703125,351,1,48
909898,888.572265625,350,0,48
909917,888.5908203125,351,0,48
909918,888.591796875,350,1,48
909972,888.64453125,351,1,48
910314,888.978515625,1,-1,48
911733,890.3642578125,350,1,48
911856,890.484375,351,1,48
911925,890.5517578125,350,1,48
911963,890.5888671875,351,1,48
912333,890.9501953125,350,1,48
912383,890.9990234375,351,1,48
912701,891.3095703125,350,1,48
912743,891.3505859375,351,1,48
912804,891.41015625,350,1,48
912862,891.466796875,351,1,48
914744,893.3046875,350,0,48
914804,893.36328125,351,0,48
914914,893.470703125,350,0,48
914935,893.4912109375,351,0,48
915031,893.5849609375,350,0,48
915061,893.6142578125,351,0,48
915150,893.701171875,350,0,48
915177,893.7275390625,351,0,48
915219,893.7685546875,350,0,48
915270,893.818359375,351,0,48
915356,893.90234375,350,0,48
915392,893.9375,351,0,48
915461,894.0048828125,350,0,48
915489,894.0322265625,351,0,48
915591,894.1318359375,350,0,48
915607,894.1474609375,351,0,48
915675,894.2138671875,350,0,48
915696,894.234375,351,0,48
915779,894.3154296875,350,0,48
915794,894.330078125,351,0,48
915865,894.3994140625,350,0,48
915882,894.416015625,351,0,48
915938,894.470703125,350,0,48
915967,894.4990234375,351,0,48
916039,894.5693359375,350,0,48
916055,894.5849609375,351,0,48
916099,894.6279296875,350,0,48
916126,894.654296875,351,0,48
916181,894.7080078125,350,0,48
916210,894.736328125,351,0,48
916270,894.794921875,350,0,48
916292,894.81640625,351,0,48
916327,894.8505859375,350,0,48
916372,894.89453125,351,0,48
916421,894.9423828125,350,0,48
916479,894.9990234375,351,0,48
916563,895.0810546875,350,0,48
916583,895.1005859375,351,0,48
916637,895.1533203125,350,0,48
916677,895.1923828125,351,0,48
916762,895.275390625,350,0,48
916778,895.291015625,351,0,48
916827,895.3388671875,350,0,48
916885,895.3955078125,351,0,48
916951,895.4599609375,350,0,48
916973,895.4814453125,351,0,48
917064,895.5703125,350,0,48
917081,895.5869140625,351,0,48
917151,895.6552734375,350,0,48
917212,895.71484375,351,0,48
917255,895.7568359375,350,0,48
917307,895.8076171875,351,0,48
917413,895.9111328125,350,0,48
917468,895.96484375,351,0,48
917485,895.9814453125,116,-1,48
917577,896.0712890625,350,0,48
917618,896.111328125,351,0,48
917767,896.2568359375,350,0,48
917785,896.2744140625,351,0,48
917879,896.3662109375,350,1,48
917895,896.3818359375,350,0,48
917912,896.3984375,351,0,48
917951,896.4365234375,351,1,48
917965,896.4501953125,350,0,48
918000,896.484375,350,1,48
918025,896.5087890625,351,0,48
918101,896.5830078125,350,0,48
918110,896.591796875,351,1,48
918123,896.6044921875,350,1,48
918158,896.638671875,351,0,48
918193,896.6728515625,351,1,48
918229,896.7080078125,350,1,48
918262,896.740234375,351,1,48
918265,896.7431640625,350,0,48
918282,896.759765625,351,0,48
918329,896.8056640625,350,0,48
918386,896.861328125,351,0,48
918460,896.93359375,350,0,48
918477,896.9501953125,351,0,48
918590,897.060546875,350,0,48
918606,897.076171875,351,0,48
918675,897.1435546875,350,1,48
918686,897.154296875,350,0,48
918712,897.1796875,351,0,48
918791,897.2568359375,350,0,48
918807,897.2724609375,351,0,48
918813,897.2783203125,103,-1,48
918851,897.3154296875,351,1,48
931253,909.4267578125,16,-1,49
932276,910.42578125,1,-1,49
937826,915.845703125,350,0,49
937886,915.904296875,351,0,49
937987,916.0029296875,350,0,49
938033,916.0478515625,351,0,49
938119,916.1318359375,350,0,49
938155,916.1669921875,351,0,49
938266,916.275390625,350,0,49
938324,916.33203125,351,0,49
938432,916.4375,350,0,49
938481,916.4853515625,351,0,49
938578,916.580078125,350,0,49
938617,916.6181640625,351,0,49
938801,916.7978515625,350,0,49
938818,916.814453125,351,0,49
938988,916.98046875,350,0,49
939006,916.998046875,351,0,49
939118,917.107421875,350,0,49
939162,917.150390625,351,0,49
939263,917.2490234375,350,0,49
939292,917.27734375,351,0,49
939422,917.404296875,350,0,49
939439,917.4208984375,351,0,49
939446,917.427734375,116,-1,49
939548,917.52734375,350,0,49
939571,917.5498046875,351,0,49
939665,917.6416015625,350,0,49
939699,917.6748046875,351,0,49
939776,917.75,350,0,49
939837,917.8095703125,351,0,49
940047,918.0146484375,350,0,49
940064,918.03125,351,0,49
940237,918.2001953125,350,0,49
940285,918.2470703125,351,0,49
940347,918.3076171875,350,0,49
940375,918.3349609375,350,1,49
940408,918.3671875,351,0,49
940462,918.419921875,350,0,49
940516,918.47265625,351,0,49
